dataset_name,clust_tool,id,nt,num_seq,min_nt,max-nt,avg_nt,alphabet,word_width,word_ones,spaced,hashed,coded,stepped,slots,DBAccel,num_clusters,min_cluster_size,max_clust_size,avg_clust_size,num_singletons,perc_seqs_singleton,perc_cluster_singleton,run_time,max-mem
60species,vsearch,0.95,5887,60,79,106,98.1166666666667,nt,8,8,No,No,No,No,65536,100%,57,1,2,1.1,54,90.0%,94.7%,00:00,8.1MB
60x50,vsearch,0.95,294350,3000,79,106,98.1166666666667,nt,8,8,No,No,No,No,65536,100%,57,50,100,52.6,0,0.0%,0.0%,00:00,10.0MB
60x50mutinter,vsearch,0.95,295469,3000,78,107,98.4896666666667,nt,8,8,No,No,No,No,65536,100%,103,1,93,29.1,1,0.0%,1.0%,00:01,10.4MB
60x50mutstack,vsearch,0.95,295525,3000,78,107,98.5083333333333,nt,8,8,No,No,No,No,65536,100%,103,1,86,29.1,3,0.1%,2.9%,00:00,10.3MB
Control-t1,vsearch,0.95,357217,3467,42,243,103.033458321315,nt,8,8,No,No,No,No,65536,100%,1141,1,64,3.0,630,18.2%,55.2%,00:01,11.3MB
Control-t2,vsearch,0.95,184893,1814,48,157,101.925578831312,nt,8,8,No,No,No,No,65536,100%,813,1,37,2.2,504,27.8%,62.0%,00:00,10.0MB
GTZ-t1,vsearch,0.95,382140,3843,40,269,99.4379391100703,nt,8,8,No,No,No,No,65536,100%,869,1,725,4.4,492,12.8%,56.6%,00:00,11.3MB
GTZ-t2,vsearch,0.95,152136,1526,41,153,99.6959370904325,nt,8,8,No,No,No,No,65536,100%,713,1,36,2.1,449,29.4%,63.0%,00:01,9.6MB
Glyphosate-t1,vsearch,0.95,514742,5025,41,277,102.436218905473,nt,8,8,No,No,No,No,65536,100%,1239,1,391,4.1,654,13.0%,52.8%,00:01,16.0MB
Glyphosate-t2,vsearch,0.95,180842,1796,36,128,100.69153674833,nt,8,8,No,No,No,No,65536,100%,840,1,40,2.1,548,30.5%,65.2%,00:01,9.7MB
Hao_skin_axillary_hv5,vsearch,0.95,1519427,1130,1241,1387,1344.62566371681,nt,8,8,No,No,No,No,65536,100%,40,1,377,28.2,14,1.2%,35.0%,00:09,128.0MB
Huse_gb_2007_8_7_r143_s2,vsearch,0.95,32816656,340150,45,169,96.4770130824636,nt,8,8,No,No,No,No,65536,100%,2959,1,25098,115.0,1587,0.5%,53.6%,00:44,103.8MB
QuinceArtficialGSFLXClean,vsearch,0.95,9138642,34308,200,289,266.370584120322,nt,8,8,No,No,No,No,65536,100%,84,1,6156,408.4,19,0.1%,22.6%,00:15,37.0MB
QuincePriestPotGSFLXClean,vsearch,0.95,4170828,16222,200,303,257.109357662434,nt,8,8,No,No,No,No,65536,100%,756,1,1948,21.5,364,2.2%,48.1%,00:10,29.2MB
Youssef,vsearch,0.95,1684019,1132,952,1542,1487.64929328622,nt,8,8,No,No,No,No,65536,100%,392,1,38,2.9,230,20.3%,58.7%,00:18,158.2MB
60species,vsearch,0.97,5887,60,79,106,98.1166666666667,nt,8,8,No,No,No,No,65536,100%,59,1,2,1.0,58,96.7%,98.3%,00:00,7.7MB
60x50,vsearch,0.97,294350,3000,79,106,98.1166666666667,nt,8,8,No,No,No,No,65536,100%,59,50,100,50.8,0,0.0%,0.0%,00:00,10.1MB
60x50mutinter,vsearch,0.97,295469,3000,78,107,98.4896666666667,nt,8,8,No,No,No,No,65536,100%,184,1,51,16.3,26,0.9%,14.1%,00:01,10.2MB
60x50mutstack,vsearch,0.97,295525,3000,78,107,98.5083333333333,nt,8,8,No,No,No,No,65536,100%,177,1,84,16.9,18,0.6%,10.2%,00:00,10.1MB
Control-t1,vsearch,0.97,357217,3467,42,243,103.033458321315,nt,8,8,No,No,No,No,65536,100%,1540,1,49,2.3,977,28.2%,63.4%,00:00,10.9MB
Control-t2,vsearch,0.97,184893,1814,48,157,101.925578831312,nt,8,8,No,No,No,No,65536,100%,1025,1,34,1.8,728,40.1%,71.0%,00:01,10.2MB
GTZ-t1,vsearch,0.97,382140,3843,40,269,99.4379391100703,nt,8,8,No,No,No,No,65536,100%,1157,1,490,3.3,737,19.2%,63.7%,00:01,11.0MB
GTZ-t2,vsearch,0.97,152136,1526,41,153,99.6959370904325,nt,8,8,No,No,No,No,65536,100%,895,1,32,1.7,643,42.1%,71.8%,00:01,9.5MB
Glyphosate-t1,vsearch,0.97,514742,5025,41,277,102.436218905473,nt,8,8,No,No,No,No,65536,100%,1772,1,135,2.8,1129,22.5%,63.7%,00:01,16.3MB
Glyphosate-t2,vsearch,0.97,180842,1796,36,128,100.69153674833,nt,8,8,No,No,No,No,65536,100%,1087,1,34,1.7,806,44.9%,74.1%,00:01,9.7MB
Hao_skin_axillary_hv5,vsearch,0.97,1519427,1130,1241,1387,1344.62566371681,nt,8,8,No,No,No,No,65536,100%,59,1,377,19.2,22,1.9%,37.3%,00:12,128.0MB
Huse_gb_2007_8_7_r143_s2,vsearch,0.97,32816656,340150,45,169,96.4770130824636,nt,8,8,No,No,No,No,65536,100%,4849,1,15071,70.1,2552,0.8%,52.6%,00:41,103.8MB
QuinceArtficialGSFLXClean,vsearch,0.97,9138642,34308,200,289,266.370584120322,nt,8,8,No,No,No,No,65536,100%,197,1,4464,174.2,54,0.2%,27.4%,00:14,36.8MB
QuincePriestPotGSFLXClean,vsearch,0.97,4170828,16222,200,303,257.109357662434,nt,8,8,No,No,No,No,65536,100%,1071,1,1301,15.1,548,3.4%,51.2%,00:07,29.4MB
Youssef,vsearch,0.97,1684019,1132,952,1542,1487.64929328622,nt,8,8,No,No,No,No,65536,100%,564,1,34,2.0,375,33.1%,66.5%,00:13,158.4MB
60species,vsearch,0.99,5887,60,79,106,98.1166666666667,nt,8,8,No,No,No,No,65536,100%,59,1,2,1.0,58,96.7%,98.3%,00:00,8.1MB
60x50,vsearch,0.99,294350,3000,79,106,98.1166666666667,nt,8,8,No,No,No,No,65536,100%,59,50,100,50.8,0,0.0%,0.0%,00:00,10.4MB
60x50mutinter,vsearch,0.99,295469,3000,78,107,98.4896666666667,nt,8,8,No,No,No,No,65536,100%,2234,1,49,1.3,1797,59.9%,80.4%,00:00,10.6MB
60x50mutstack,vsearch,0.99,295525,3000,78,107,98.5083333333333,nt,8,8,No,No,No,No,65536,100%,2271,1,11,1.3,1817,60.6%,80.0%,00:01,10.3MB
Control-t1,vsearch,0.99,357217,3467,42,243,103.033458321315,nt,8,8,No,No,No,No,65536,100%,2335,1,23,1.5,1844,53.2%,79.0%,00:00,10.6MB
Control-t2,vsearch,0.99,184893,1814,48,157,101.925578831312,nt,8,8,No,No,No,No,65536,100%,1411,1,12,1.3,1216,67.0%,86.2%,00:00,9.8MB
GTZ-t1,vsearch,0.99,382140,3843,40,269,99.4379391100703,nt,8,8,No,No,No,No,65536,100%,1746,1,357,2.2,1349,35.1%,77.3%,00:01,11.2MB
GTZ-t2,vsearch,0.99,152136,1526,41,153,99.6959370904325,nt,8,8,No,No,No,No,65536,100%,1177,1,18,1.3,999,65.5%,84.9%,00:00,10.1MB
Glyphosate-t1,vsearch,0.99,514742,5025,41,277,102.436218905473,nt,8,8,No,No,No,No,65536,100%,2814,1,70,1.8,2123,42.2%,75.4%,00:00,15.8MB
Glyphosate-t2,vsearch,0.99,180842,1796,36,128,100.69153674833,nt,8,8,No,No,No,No,65536,100%,1414,1,21,1.3,1212,67.5%,85.7%,00:00,9.7MB
Hao_skin_axillary_hv5,vsearch,0.99,1519427,1130,1241,1387,1344.62566371681,nt,8,8,No,No,No,No,65536,100%,147,1,314,7.7,75,6.6%,51.0%,00:11,128.2MB
Huse_gb_2007_8_7_r143_s2,vsearch,0.99,32816656,340150,45,169,96.4770130824636,nt,8,8,No,No,No,No,65536,100%,15812,1,13623,21.5,10388,3.1%,65.7%,01:40,105.1MB
QuinceArtficialGSFLXClean,vsearch,0.99,9138642,34308,200,289,266.370584120322,nt,8,8,No,No,No,No,65536,100%,2770,1,1114,12.4,1304,3.8%,47.1%,00:15,37.3MB
QuincePriestPotGSFLXClean,vsearch,0.99,4170828,16222,200,303,257.109357662434,nt,8,8,No,No,No,No,65536,100%,3031,1,312,5.4,1778,11.0%,58.7%,00:07,29.1MB
Youssef,vsearch,0.99,1684019,1132,952,1542,1487.64929328622,nt,8,8,No,No,No,No,65536,100%,867,1,27,1.3,729,64.4%,84.1%,00:23,158.2MB
60species,vsearch,0.995,5887,60,79,106,98.1166666666667,nt,8,8,No,No,No,No,65536,100%,59,1,2,1.0,58,96.7%,98.3%,00:00,7.7MB
60x50,vsearch,0.995,294350,3000,79,106,98.1166666666667,nt,8,8,No,No,No,No,65536,100%,59,50,100,50.8,0,0.0%,0.0%,00:01,10.2MB
60x50mutinter,vsearch,0.995,295469,3000,78,107,98.4896666666667,nt,8,8,No,No,No,No,65536,100%,2588,1,10,1.2,2324,77.5%,89.8%,00:02,10.1MB
60x50mutstack,vsearch,0.995,295525,3000,78,107,98.5083333333333,nt,8,8,No,No,No,No,65536,100%,2572,1,10,1.2,2298,76.6%,89.3%,00:02,10.2MB
Control-t1,vsearch,0.995,357217,3467,42,243,103.033458321315,nt,8,8,No,No,No,No,65536,100%,2848,1,12,1.2,2461,71.0%,86.4%,00:01,10.7MB
Control-t2,vsearch,0.995,184893,1814,48,157,101.925578831312,nt,8,8,No,No,No,No,65536,100%,1640,1,6,1.1,1516,83.6%,92.4%,00:01,9.9MB
GTZ-t1,vsearch,0.995,382140,3843,40,269,99.4379391100703,nt,8,8,No,No,No,No,65536,100%,2105,1,264,1.8,1783,46.4%,84.7%,00:01,11.2MB
GTZ-t2,vsearch,0.995,152136,1526,41,153,99.6959370904325,nt,8,8,No,No,No,No,65536,100%,1361,1,11,1.1,1245,81.6%,91.5%,00:01,9.4MB
Glyphosate-t1,vsearch,0.995,514742,5025,41,277,102.436218905473,nt,8,8,No,No,No,No,65536,100%,3495,1,112,1.4,2929,58.3%,83.8%,00:02,15.7MB
Glyphosate-t2,vsearch,0.995,180842,1796,36,128,100.69153674833,nt,8,8,No,No,No,No,65536,100%,1620,1,9,1.1,1510,84.1%,93.2%,00:01,9.6MB
Hao_skin_axillary_hv5,vsearch,0.995,1519427,1130,1241,1387,1344.62566371681,nt,8,8,No,No,No,No,65536,100%,296,1,290,3.8,214,18.9%,72.3%,00:23,127.9MB
Huse_gb_2007_8_7_r143_s2,vsearch,0.995,32816656,340150,45,169,96.4770130824636,nt,8,8,No,No,No,No,65536,100%,18238,1,13638,18.7,12413,3.6%,68.1%,02:34,105.4MB
QuinceArtficialGSFLXClean,vsearch,0.995,9138642,34308,200,289,266.370584120322,nt,8,8,No,No,No,No,65536,100%,6759,1,1381,5.1,3940,11.5%,58.3%,00:32,38.4MB
QuincePriestPotGSFLXClean,vsearch,0.995,4170828,16222,200,303,257.109357662434,nt,8,8,No,No,No,No,65536,100%,5070,1,304,3.2,3466,21.4%,68.4%,00:12,29.5MB
Youssef,vsearch,0.995,1684019,1132,952,1542,1487.64929328622,nt,8,8,No,No,No,No,65536,100%,1011,1,12,1.1,932,82.3%,92.2%,00:31,158.1MB
